Episode 1 | Reward: 30.20 | Steps: 158 | Epsilon: 0.30 | Result: WIN | Time: 0.00037s
Episode 2 | Reward: -14.50 | Steps: 306 | Epsilon: 0.30 | Result: WIN | Time: 0.00070s
Episode 3 | Reward: -50.90 | Steps: 408 | Epsilon: 0.30 | Result: WIN | Time: 0.00096s
Episode 4 | Reward: -28.30 | Steps: 371 | Epsilon: 0.30 | Result: WIN | Time: 0.00078s
Episode 5 | Reward: 7.60 | Steps: 249 | Epsilon: 0.29 | Result: WIN | Time: 0.00052s
Episode 6 | Reward: 15.00 | Steps: 262 | Epsilon: 0.29 | Result: WIN | Time: 0.00053s
Episode 7 | Reward: 30.60 | Steps: 227 | Epsilon: 0.29 | Result: WIN | Time: 0.00047s
Episode 8 | Reward: 47.10 | Steps: 196 | Epsilon: 0.29 | Result: WIN | Time: 0.00041s
Episode 9 | Reward: 76.60 | Steps: 79 | Epsilon: 0.29 | Result: WIN | Time: 0.00019s
Episode 10 | Reward: 38.90 | Steps: 169 | Epsilon: 0.29 | Result: WIN | Time: 0.00038s
Episode 11 | Reward: 63.30 | Steps: 125 | Epsilon: 0.29 | Result: WIN | Time: 0.00026s
Episode 12 | Reward: 59.60 | Steps: 153 | Epsilon: 0.28 | Result: WIN | Time: 0.00032s
Episode 13 | Reward: 56.90 | Steps: 149 | Epsilon: 0.28 | Result: WIN | Time: 0.00030s
Episode 14 | Reward: 78.50 | Steps: 89 | Epsilon: 0.28 | Result: WIN | Time: 0.00021s
Episode 15 | Reward: 65.70 | Steps: 110 | Epsilon: 0.28 | Result: WIN | Time: 0.00022s
Episode 16 | Reward: 81.00 | Steps: 65 | Epsilon: 0.28 | Result: WIN | Time: 0.00014s
Episode 17 | Reward: 87.00 | Steps: 49 | Epsilon: 0.28 | Result: WIN | Time: 0.00010s
Episode 18 | Reward: 63.20 | Steps: 117 | Epsilon: 0.28 | Result: WIN | Time: 0.00025s
Episode 19 | Reward: 78.60 | Steps: 87 | Epsilon: 0.27 | Result: WIN | Time: 0.00018s
Episode 20 | Reward: 75.00 | Steps: 81 | Epsilon: 0.27 | Result: WIN | Time: 0.00017s
Episode 21 | Reward: 68.00 | Steps: 106 | Epsilon: 0.27 | Result: WIN | Time: 0.00022s
Episode 22 | Reward: 89.00 | Steps: 57 | Epsilon: 0.27 | Result: WIN | Time: 0.00012s
Episode 23 | Reward: 89.50 | Steps: 45 | Epsilon: 0.27 | Result: WIN | Time: 0.00009s
Episode 24 | Reward: 74.70 | Steps: 79 | Epsilon: 0.27 | Result: WIN | Time: 0.00016s
Episode 25 | Reward: 68.90 | Steps: 100 | Epsilon: 0.27 | Result: WIN | Time: 0.00021s
Episode 26 | Reward: 92.90 | Steps: 30 | Epsilon: 0.26 | Result: WIN | Time: 0.00006s
Episode 27 | Reward: 79.90 | Steps: 76 | Epsilon: 0.26 | Result: WIN | Time: 0.00016s
Episode 28 | Reward: 89.40 | Steps: 45 | Epsilon: 0.26 | Result: WIN | Time: 0.00009s
Episode 29 | Reward: 93.50 | Steps: 43 | Epsilon: 0.26 | Result: WIN | Time: 0.00009s
Episode 30 | Reward: 90.10 | Steps: 46 | Epsilon: 0.26 | Result: WIN | Time: 0.00010s
