Episode 1 | Reward: 6.70 | Steps: 212 | Epsilon: 0.30 | Result: WIN | Time: 0.00047s
Episode 2 | Reward: -1.20 | Steps: 265 | Epsilon: 0.30 | Result: WIN | Time: 0.00059s
Episode 3 | Reward: 10.30 | Steps: 238 | Epsilon: 0.30 | Result: WIN | Time: 0.00049s
Episode 4 | Reward: 75.10 | Steps: 105 | Epsilon: 0.30 | Result: WIN | Time: 0.00022s
Episode 5 | Reward: 35.00 | Steps: 191 | Epsilon: 0.29 | Result: WIN | Time: 0.00040s
Episode 6 | Reward: 70.90 | Steps: 93 | Epsilon: 0.29 | Result: WIN | Time: 0.00019s
Episode 7 | Reward: 62.40 | Steps: 134 | Epsilon: 0.29 | Result: WIN | Time: 0.00028s
Episode 8 | Reward: 57.80 | Steps: 146 | Epsilon: 0.29 | Result: WIN | Time: 0.00032s
Episode 9 | Reward: 83.60 | Steps: 61 | Epsilon: 0.29 | Result: WIN | Time: 0.00012s
Episode 10 | Reward: 65.60 | Steps: 106 | Epsilon: 0.29 | Result: WIN | Time: 0.00022s
Episode 11 | Reward: 80.30 | Steps: 67 | Epsilon: 0.29 | Result: WIN | Time: 0.00014s
Episode 12 | Reward: 85.90 | Steps: 55 | Epsilon: 0.28 | Result: WIN | Time: 0.00011s
Episode 13 | Reward: 84.20 | Steps: 65 | Epsilon: 0.28 | Result: WIN | Time: 0.00013s
Episode 14 | Reward: 52.70 | Steps: 141 | Epsilon: 0.28 | Result: WIN | Time: 0.00029s
Episode 15 | Reward: 78.80 | Steps: 70 | Epsilon: 0.28 | Result: WIN | Time: 0.00014s
Episode 16 | Reward: 71.10 | Steps: 88 | Epsilon: 0.28 | Result: WIN | Time: 0.00019s
Episode 17 | Reward: 82.20 | Steps: 70 | Epsilon: 0.28 | Result: WIN | Time: 0.00014s
Episode 18 | Reward: 84.50 | Steps: 61 | Epsilon: 0.28 | Result: WIN | Time: 0.00012s
Episode 19 | Reward: 75.00 | Steps: 82 | Epsilon: 0.27 | Result: WIN | Time: 0.00017s
Episode 20 | Reward: 72.90 | Steps: 102 | Epsilon: 0.27 | Result: WIN | Time: 0.00021s
Episode 21 | Reward: 84.80 | Steps: 51 | Epsilon: 0.27 | Result: WIN | Time: 0.00010s
Episode 22 | Reward: 83.30 | Steps: 61 | Epsilon: 0.27 | Result: WIN | Time: 0.00012s
Episode 23 | Reward: 97.50 | Steps: 22 | Epsilon: 0.27 | Result: WIN | Time: 0.00005s
Episode 24 | Reward: 96.30 | Steps: 25 | Epsilon: 0.27 | Result: WIN | Time: 0.00005s
Episode 25 | Reward: 78.80 | Steps: 69 | Epsilon: 0.27 | Result: WIN | Time: 0.00014s
Episode 26 | Reward: 93.90 | Steps: 37 | Epsilon: 0.26 | Result: WIN | Time: 0.00008s
Episode 27 | Reward: 96.70 | Steps: 21 | Epsilon: 0.26 | Result: WIN | Time: 0.00005s
