Starting epsilon decay: 0.997755
🔥 New best solution! Steps: 1787. Decay decreased to 0.997461
Episode 1 | Reward: -502.50000000001626 | Steps: 1787 | Epsilon: 0.299 | Result: WIN | Decay: 0.997461 | Time: 0.0052s
🔥 New best solution! Steps: 648. Decay decreased to 0.997166
Episode 2 | Reward: -139.2999999999982 | Steps: 648 | Epsilon: 0.298 | Result: WIN | Decay: 0.997166 | Time: 0.0017s
Episode 3 | Reward: -159.69999999999635 | Steps: 1203 | Epsilon: 0.298 | Result: WIN | Decay: 0.997166 | Time: 0.0029s
Episode 4 | Reward: -94.69999999999771 | Steps: 805 | Epsilon: 0.297 | Result: WIN | Decay: 0.997166 | Time: 0.0072s
Episode 5 | Reward: -291.3000000000077 | Steps: 1709 | Epsilon: 0.296 | Result: WIN | Decay: 0.997166 | Time: 0.0059s
🔥 New best solution! Steps: 366. Decay decreased to 0.996872
Episode 6 | Reward: 18.500000000000156 | Steps: 366 | Epsilon: 0.295 | Result: WIN | Decay: 0.996872 | Time: 0.0021s
Episode 7 | Reward: -243.90000000000276 | Steps: 1451 | Epsilon: 0.294 | Result: WIN | Decay: 0.996872 | Time: 0.0058s
Episode 8 | Reward: -66.4999999999981 | Steps: 694 | Epsilon: 0.293 | Result: WIN | Decay: 0.996872 | Time: 0.0020s
🔥 New best solution! Steps: 334. Decay decreased to 0.996578
Episode 9 | Reward: 23.500000000000057 | Steps: 334 | Epsilon: 0.292 | Result: WIN | Decay: 0.996578 | Time: 0.0009s
Episode 10 | Reward: -51.89999999999816 | Steps: 746 | Epsilon: 0.291 | Result: WIN | Decay: 0.996578 | Time: 0.0025s
Episode 11 | Reward: -36.899999999998556 | Steps: 641 | Epsilon: 0.290 | Result: WIN | Decay: 0.996578 | Time: 0.0021s
Episode 12 | Reward: -107.09999999999675 | Steps: 992 | Epsilon: 0.289 | Result: WIN | Decay: 0.996578 | Time: 0.0028s
