Starting epsilon decay: 0.997755
🔥 New best solution! Steps: 3113. Decay decreased to 0.997461
Episode 1 | Reward: -855.600000000038 | Steps: 3113 | Epsilon: 0.299 | Result: WIN | Decay: 0.997461 | Time: 0.0083s
Episode 2 | Reward: -703.4000000000398 | Steps: 3310 | Epsilon: 0.298 | Result: WIN | Decay: 0.997461 | Time: 0.0084s
Episode 3 | Reward: -806.4000000000401 | Steps: 3528 | Epsilon: 0.298 | Result: LOSE | Decay: 0.997461 | Time: 0.0089s
🔥 New best solution! Steps: 699. Decay decreased to 0.997166
Episode 4 | Reward: -75.99999999999807 | Steps: 699 | Epsilon: 0.297 | Result: WIN | Decay: 0.997166 | Time: 0.0017s
Episode 5 | Reward: -275.8000000000074 | Steps: 1698 | Epsilon: 0.296 | Result: WIN | Decay: 0.997166 | Time: 0.0041s
Episode 6 | Reward: -788.400000000043 | Steps: 3528 | Epsilon: 0.295 | Result: LOSE | Decay: 0.997166 | Time: 0.0089s
🔥 New best solution! Steps: 626. Decay decreased to 0.996872
Episode 7 | Reward: -53.3999999999985 | Steps: 626 | Epsilon: 0.294 | Result: WIN | Decay: 0.996872 | Time: 0.0015s
Episode 8 | Reward: -169.39999999999725 | Steps: 1228 | Epsilon: 0.293 | Result: WIN | Decay: 0.996872 | Time: 0.0031s
Episode 9 | Reward: -369.8000000000168 | Steps: 2161 | Epsilon: 0.292 | Result: WIN | Decay: 0.996872 | Time: 0.0053s
Episode 10 | Reward: -352.40000000001453 | Steps: 2086 | Epsilon: 0.292 | Result: WIN | Decay: 0.996872 | Time: 0.0053s
Episode 11 | Reward: -424.80000000001803 | Steps: 2270 | Epsilon: 0.291 | Result: WIN | Decay: 0.996872 | Time: 0.0055s
Episode 12 | Reward: -316.8000000000101 | Steps: 1856 | Epsilon: 0.290 | Result: WIN | Decay: 0.996872 | Time: 0.0045s
Episode 13 | Reward: -241.2000000000038 | Steps: 1469 | Epsilon: 0.289 | Result: WIN | Decay: 0.996872 | Time: 0.0040s
Episode 14 | Reward: -384.40000000001436 | Steps: 2082 | Epsilon: 0.288 | Result: WIN | Decay: 0.996872 | Time: 0.0050s
Episode 15 | Reward: -342.00000000001006 | Steps: 1919 | Epsilon: 0.287 | Result: WIN | Decay: 0.996872 | Time: 0.0050s
Episode 16 | Reward: -102.9999999999969 | Steps: 978 | Epsilon: 0.286 | Result: WIN | Decay: 0.996872 | Time: 0.0025s
Episode 17 | Reward: -222.80000000000075 | Steps: 1519 | Epsilon: 0.285 | Result: WIN | Decay: 0.996872 | Time: 0.0038s
Episode 18 | Reward: -245.20000000000482 | Steps: 1680 | Epsilon: 0.284 | Result: WIN | Decay: 0.996872 | Time: 0.0043s
Episode 19 | Reward: -114.59999999999687 | Steps: 959 | Epsilon: 0.283 | Result: WIN | Decay: 0.996872 | Time: 0.0024s
Episode 20 | Reward: -103.79999999999711 | Steps: 914 | Epsilon: 0.283 | Result: WIN | Decay: 0.996872 | Time: 0.0022s
Episode 21 | Reward: -200.19999999999965 | Steps: 1437 | Epsilon: 0.282 | Result: WIN | Decay: 0.996872 | Time: 0.0041s
Episode 22 | Reward: -95.99999999999741 | Steps: 908 | Epsilon: 0.281 | Result: WIN | Decay: 0.996872 | Time: 0.0022s
Episode 23 | Reward: -249.00000000000398 | Steps: 1673 | Epsilon: 0.280 | Result: WIN | Decay: 0.996872 | Time: 0.0044s
Episode 24 | Reward: -43.199999999998596 | Steps: 668 | Epsilon: 0.279 | Result: WIN | Decay: 0.996872 | Time: 0.0016s
Episode 25 | Reward: -168.39999999999714 | Steps: 1317 | Epsilon: 0.278 | Result: WIN | Decay: 0.996872 | Time: 0.0032s
Episode 26 | Reward: -129.19999999999644 | Steps: 1078 | Epsilon: 0.277 | Result: WIN | Decay: 0.996872 | Time: 0.0027s
Episode 27 | Reward: -112.59999999999687 | Steps: 984 | Epsilon: 0.276 | Result: WIN | Decay: 0.996872 | Time: 0.0027s
Episode 28 | Reward: -77.59999999999795 | Steps: 787 | Epsilon: 0.276 | Result: WIN | Decay: 0.996872 | Time: 0.0019s
🔥 New best solution! Steps: 547. Decay decreased to 0.996578
Episode 29 | Reward: -21.19999999999878 | Steps: 547 | Epsilon: 0.275 | Result: WIN | Decay: 0.996578 | Time: 0.0013s
Episode 30 | Reward: -206.00000000000114 | Steps: 1450 | Epsilon: 0.274 | Result: WIN | Decay: 0.996578 | Time: 0.0037s
Episode 31 | Reward: -135.79999999999612 | Steps: 1090 | Epsilon: 0.273 | Result: WIN | Decay: 0.996578 | Time: 0.0028s
Episode 32 | Reward: -32.999999999998636 | Steps: 647 | Epsilon: 0.272 | Result: WIN | Decay: 0.996578 | Time: 0.0016s
Episode 33 | Reward: -31.999999999998835 | Steps: 601 | Epsilon: 0.271 | Result: WIN | Decay: 0.996578 | Time: 0.0016s
🔥 New best solution! Steps: 397. Decay decreased to 0.996283
Episode 34 | Reward: 15.40000000000012 | Steps: 397 | Epsilon: 0.270 | Result: WIN | Decay: 0.996283 | Time: 0.0010s
