Episode 1 | Reward: 36.70 | Steps: 133 | Epsilon: 0.20 | Result: WIN | Time: 0.00030s
Episode 2 | Reward: 25.80 | Steps: 162 | Epsilon: 0.20 | Result: WIN | Time: 0.00039s
Episode 3 | Reward: 45.70 | Steps: 158 | Epsilon: 0.20 | Result: WIN | Time: 0.00034s
Episode 4 | Reward: 94.30 | Steps: 27 | Epsilon: 0.20 | Result: WIN | Time: 0.00006s
Episode 5 | Reward: 52.60 | Steps: 154 | Epsilon: 0.20 | Result: WIN | Time: 0.00032s
Episode 6 | Reward: 93.90 | Steps: 24 | Epsilon: 0.20 | Result: WIN | Time: 0.00005s
Episode 7 | Reward: 66.80 | Steps: 107 | Epsilon: 0.19 | Result: WIN | Time: 0.00023s
Episode 8 | Reward: 97.00 | Steps: 16 | Epsilon: 0.19 | Result: WIN | Time: 0.00004s
Episode 9 | Reward: 49.80 | Steps: 160 | Epsilon: 0.19 | Result: WIN | Time: 0.00034s
Episode 10 | Reward: 87.60 | Steps: 47 | Epsilon: 0.19 | Result: WIN | Time: 0.00010s
Episode 11 | Reward: 61.00 | Steps: 129 | Epsilon: 0.19 | Result: WIN | Time: 0.00027s
Episode 12 | Reward: 90.40 | Steps: 36 | Epsilon: 0.19 | Result: WIN | Time: 0.00008s
Episode 13 | Reward: 82.60 | Steps: 77 | Epsilon: 0.19 | Result: WIN | Time: 0.00017s
Episode 14 | Reward: 95.90 | Steps: 24 | Epsilon: 0.19 | Result: WIN | Time: 0.00005s
Episode 15 | Reward: 94.30 | Steps: 32 | Epsilon: 0.19 | Result: WIN | Time: 0.00007s
Episode 16 | Reward: 73.50 | Steps: 104 | Epsilon: 0.19 | Result: WIN | Time: 0.00022s
Episode 17 | Reward: 97.70 | Steps: 17 | Epsilon: 0.18 | Result: WIN | Time: 0.00004s
Episode 18 | Reward: 80.90 | Steps: 65 | Epsilon: 0.18 | Result: WIN | Time: 0.00016s
Episode 19 | Reward: 98.80 | Steps: 11 | Epsilon: 0.18 | Result: WIN | Time: 0.00003s
Episode 20 | Reward: 97.80 | Steps: 12 | Epsilon: 0.18 | Result: WIN | Time: 0.00003s
Episode 21 | Reward: 97.90 | Steps: 12 | Epsilon: 0.18 | Result: WIN | Time: 0.00003s
Episode 22 | Reward: 97.80 | Steps: 12 | Epsilon: 0.18 | Result: WIN | Time: 0.00003s
Episode 23 | Reward: 97.80 | Steps: 12 | Epsilon: 0.18 | Result: WIN | Time: 0.00003s
Episode 24 | Reward: 97.20 | Steps: 16 | Epsilon: 0.18 | Result: WIN | Time: 0.00004s
Episode 25 | Reward: 98.20 | Steps: 10 | Epsilon: 0.18 | Result: WIN | Time: 0.00002s
Episode 26 | Reward: 95.60 | Steps: 19 | Epsilon: 0.18 | Result: WIN | Time: 0.00004s
Episode 27 | Reward: 91.80 | Steps: 28 | Epsilon: 0.18 | Result: WIN | Time: 0.00006s
Episode 28 | Reward: 97.40 | Steps: 14 | Epsilon: 0.17 | Result: WIN | Time: 0.00003s
Episode 29 | Reward: 98.20 | Steps: 10 | Epsilon: 0.17 | Result: WIN | Time: 0.00002s
Episode 30 | Reward: 99.20 | Steps: 9 | Epsilon: 0.17 | Result: WIN | Time: 0.00002s
Episode 31 | Reward: 99.20 | Steps: 9 | Epsilon: 0.17 | Result: WIN | Time: 0.00002s
Episode 32 | Reward: 98.20 | Steps: 10 | Epsilon: 0.17 | Result: WIN | Time: 0.00002s
Episode 33 | Reward: 96.20 | Steps: 12 | Epsilon: 0.17 | Result: WIN | Time: 0.00003s
Episode 34 | Reward: 98.90 | Steps: 11 | Epsilon: 0.17 | Result: WIN | Time: 0.00002s
Episode 35 | Reward: 99.20 | Steps: 9 | Epsilon: 0.17 | Result: WIN | Time: 0.00002s
Episode 36 | Reward: 97.80 | Steps: 12 | Epsilon: 0.17 | Result: WIN | Time: 0.00003s
Episode 37 | Reward: 98.50 | Steps: 13 | Epsilon: 0.17 | Result: WIN | Time: 0.00003s
Episode 38 | Reward: 98.20 | Steps: 10 | Epsilon: 0.17 | Result: WIN | Time: 0.00002s
Episode 39 | Reward: 98.80 | Steps: 11 | Epsilon: 0.17 | Result: WIN | Time: 0.00003s
Episode 40 | Reward: 98.80 | Steps: 11 | Epsilon: 0.16 | Result: WIN | Time: 0.00002s
Episode 41 | Reward: 98.80 | Steps: 11 | Epsilon: 0.16 | Result: WIN | Time: 0.00002s
Episode 42 | Reward: 97.80 | Steps: 12 | Epsilon: 0.16 | Result: WIN | Time: 0.00003s
Episode 43 | Reward: 97.20 | Steps: 11 | Epsilon: 0.16 | Result: WIN | Time: 0.00002s
Episode 44 | Reward: 95.10 | Steps: 18 | Epsilon: 0.16 | Result: WIN | Time: 0.00004s
Episode 45 | Reward: 98.20 | Steps: 10 | Epsilon: 0.16 | Result: WIN | Time: 0.00002s
Episode 46 | Reward: 95.60 | Steps: 16 | Epsilon: 0.16 | Result: WIN | Time: 0.00003s
Episode 47 | Reward: 99.20 | Steps: 9 | Epsilon: 0.16 | Result: WIN | Time: 0.00002s
Episode 48 | Reward: 98.50 | Steps: 13 | Epsilon: 0.16 | Result: WIN | Time: 0.00003s
Episode 49 | Reward: 96.80 | Steps: 13 | Epsilon: 0.16 | Result: WIN | Time: 0.00003s
Episode 50 | Reward: 99.20 | Steps: 9 | Epsilon: 0.16 | Result: WIN | Time: 0.00002s
Episode 51 | Reward: 99.20 | Steps: 9 | Epsilon: 0.16 | Result: WIN | Time: 0.00002s
Episode 52 | Reward: 93.10 | Steps: 25 | Epsilon: 0.15 | Result: WIN | Time: 0.00005s
Episode 53 | Reward: 98.80 | Steps: 11 | Epsilon: 0.15 | Result: WIN | Time: 0.00002s
Episode 54 | Reward: 98.80 | Steps: 11 | Epsilon: 0.15 | Result: WIN | Time: 0.00002s
Episode 55 | Reward: 98.80 | Steps: 11 | Epsilon: 0.15 | Result: WIN | Time: 0.00002s
Episode 56 | Reward: 97.80 | Steps: 12 | Epsilon: 0.15 | Result: WIN | Time: 0.00003s
Episode 57 | Reward: 99.20 | Steps: 9 | Epsilon: 0.15 | Result: WIN | Time: 0.00002s
Episode 58 | Reward: 98.20 | Steps: 10 | Epsilon: 0.15 | Result: WIN | Time: 0.00002s
Episode 59 | Reward: 99.20 | Steps: 9 | Epsilon: 0.15 | Result: WIN | Time: 0.00002s
Episode 60 | Reward: 97.80 | Steps: 12 | Epsilon: 0.15 | Result: WIN | Time: 0.00003s
Episode 61 | Reward: 99.20 | Steps: 9 | Epsilon: 0.15 | Result: WIN | Time: 0.00002s
Episode 62 | Reward: 99.20 | Steps: 9 | Epsilon: 0.15 | Result: WIN | Time: 0.00002s
Episode 63 | Reward: 98.20 | Steps: 10 | Epsilon: 0.15 | Result: WIN | Time: 0.00002s
Episode 64 | Reward: 99.20 | Steps: 9 | Epsilon: 0.15 | Result: WIN | Time: 0.00002s
Episode 65 | Reward: 98.20 | Steps: 10 | Epsilon: 0.15 | Result: WIN | Time: 0.00002s
Episode 66 | Reward: 99.20 | Steps: 9 | Epsilon: 0.14 | Result: WIN | Time: 0.00002s
Episode 67 | Reward: 97.90 | Steps: 12 | Epsilon: 0.14 | Result: WIN | Time: 0.00003s
Episode 68 | Reward: 98.20 | Steps: 10 | Epsilon: 0.14 | Result: WIN | Time: 0.00002s
Episode 69 | Reward: 98.40 | Steps: 13 | Epsilon: 0.14 | Result: WIN | Time: 0.00003s
