Starting epsilon decay: 0.991818
🔥 New best solution! Steps: 156. Decay decreased to 0.990752
Episode 1 | Reward: 30.499999999999957 | Steps: 156 | Epsilon: 0.297 | Result: WIN | Decay: 0.990752 | Time: 0.0004s
Episode 2 | Reward: -100.89999999999768 | Steps: 732 | Epsilon: 0.294 | Result: WIN | Decay: 0.990752 | Time: 0.0019s
Episode 3 | Reward: 18.900000000000205 | Steps: 308 | Epsilon: 0.292 | Result: WIN | Decay: 0.990752 | Time: 0.0008s
Episode 4 | Reward: 17.900000000000134 | Steps: 372 | Epsilon: 0.289 | Result: WIN | Decay: 0.990752 | Time: 0.0010s
Episode 5 | Reward: 48.29999999999977 | Steps: 257 | Epsilon: 0.286 | Result: WIN | Decay: 0.990752 | Time: 0.0006s
🔥 New best solution! Steps: 137. Decay decreased to 0.989685
Episode 6 | Reward: 67.49999999999994 | Steps: 137 | Epsilon: 0.283 | Result: WIN | Decay: 0.989685 | Time: 0.0004s
Episode 7 | Reward: 59.4999999999999 | Steps: 181 | Epsilon: 0.281 | Result: WIN | Decay: 0.989685 | Time: 0.0005s
Episode 8 | Reward: 56.8999999999999 | Steps: 171 | Epsilon: 0.278 | Result: WIN | Decay: 0.989685 | Time: 0.0004s
🔥 New best solution! Steps: 127. Decay decreased to 0.988619
Episode 9 | Reward: 68.49999999999991 | Steps: 127 | Epsilon: 0.274 | Result: WIN | Decay: 0.988619 | Time: 0.0004s
Episode 10 | Reward: 70.49999999999994 | Steps: 134 | Epsilon: 0.271 | Result: WIN | Decay: 0.988619 | Time: 0.0003s
🔥 New best solution! Steps: 102. Decay decreased to 0.987553
Episode 11 | Reward: 75.49999999999997 | Steps: 102 | Epsilon: 0.268 | Result: WIN | Decay: 0.987553 | Time: 0.0005s
Episode 12 | Reward: 69.49999999999993 | Steps: 144 | Epsilon: 0.265 | Result: WIN | Decay: 0.987553 | Time: 0.0004s
🔥 New best solution! Steps: 86. Decay decreased to 0.986486
Episode 13 | Reward: 84.30000000000003 | Steps: 86 | Epsilon: 0.261 | Result: WIN | Decay: 0.986486 | Time: 0.0002s
Episode 14 | Reward: 61.09999999999989 | Steps: 174 | Epsilon: 0.258 | Result: WIN | Decay: 0.986486 | Time: 0.0004s
🔥 New best solution! Steps: 64. Decay decreased to 0.985420
Episode 15 | Reward: 88.30000000000001 | Steps: 64 | Epsilon: 0.254 | Result: WIN | Decay: 0.985420 | Time: 0.0002s
🔥 New best solution! Steps: 38. Decay decreased to 0.984353
Episode 16 | Reward: 90.9 | Steps: 38 | Epsilon: 0.250 | Result: WIN | Decay: 0.984353 | Time: 0.0001s
Episode 17 | Reward: 83.90000000000003 | Steps: 126 | Epsilon: 0.246 | Result: WIN | Decay: 0.984353 | Time: 0.0003s
Episode 18 | Reward: 82.9 | Steps: 64 | Epsilon: 0.242 | Result: WIN | Decay: 0.984353 | Time: 0.0001s
Episode 19 | Reward: 92.30000000000001 | Steps: 42 | Epsilon: 0.238 | Result: WIN | Decay: 0.984353 | Time: 0.0001s
Episode 20 | Reward: 90.30000000000001 | Steps: 44 | Epsilon: 0.235 | Result: WIN | Decay: 0.984353 | Time: 0.0001s
Episode 21 | Reward: 68.6999999999999 | Steps: 143 | Epsilon: 0.231 | Result: WIN | Decay: 0.984353 | Time: 0.0005s
🔥 New best solution! Steps: 36. Decay decreased to 0.983287
Episode 22 | Reward: 92.9 | Steps: 36 | Epsilon: 0.227 | Result: WIN | Decay: 0.983287 | Time: 0.0001s
🔥 New best solution! Steps: 33. Decay decreased to 0.982220
Episode 23 | Reward: 95.9 | Steps: 33 | Epsilon: 0.223 | Result: WIN | Decay: 0.982220 | Time: 0.0001s
Episode 24 | Reward: 92.3 | Steps: 42 | Epsilon: 0.219 | Result: WIN | Decay: 0.982220 | Time: 0.0001s
Episode 25 | Reward: 91.9 | Steps: 46 | Epsilon: 0.215 | Result: WIN | Decay: 0.982220 | Time: 0.0001s
Episode 26 | Reward: 91.30000000000001 | Steps: 43 | Epsilon: 0.211 | Result: WIN | Decay: 0.982220 | Time: 0.0001s
🔥 New best solution! Steps: 30. Decay decreased to 0.981154
Episode 27 | Reward: 95.3 | Steps: 30 | Epsilon: 0.207 | Result: WIN | Decay: 0.981154 | Time: 0.0001s
Episode 28 | Reward: 95.3 | Steps: 30 | Epsilon: 0.203 | Result: WIN | Decay: 0.981154 | Time: 0.0001s
Episode 29 | Reward: 90.10000000000001 | Steps: 37 | Epsilon: 0.200 | Result: WIN | Decay: 0.981154 | Time: 0.0001s
🔥 New best solution! Steps: 26. Decay decreased to 0.980088
Episode 30 | Reward: 93.9 | Steps: 26 | Epsilon: 0.196 | Result: WIN | Decay: 0.980088 | Time: 0.0001s
Episode 31 | Reward: 89.5 | Steps: 43 | Epsilon: 0.192 | Result: WIN | Decay: 0.980088 | Time: 0.0001s
🔥 New best solution! Steps: 23. Decay decreased to 0.979021
