Episode 1 | Reward: -336.90 | Steps: 701 | Epsilon: 0.30 | Result: WIN | Time: 0.00276s
Episode 2 | Reward: -213.10 | Steps: 639 | Epsilon: 0.30 | Result: WIN | Time: 0.00211s
Episode 3 | Reward: -63.60 | Steps: 304 | Epsilon: 0.30 | Result: WIN | Time: 0.00100s
Episode 4 | Reward: -60.90 | Steps: 390 | Epsilon: 0.29 | Result: WIN | Time: 0.00130s
Episode 5 | Reward: 68.10 | Steps: 117 | Epsilon: 0.29 | Result: WIN | Time: 0.00037s
Episode 6 | Reward: 88.90 | Steps: 36 | Epsilon: 0.29 | Result: WIN | Time: 0.00012s
Episode 7 | Reward: 82.70 | Steps: 43 | Epsilon: 0.29 | Result: WIN | Time: 0.00014s
Episode 8 | Reward: 82.20 | Steps: 52 | Epsilon: 0.29 | Result: WIN | Time: 0.00017s
Episode 9 | Reward: 94.10 | Steps: 25 | Epsilon: 0.29 | Result: WIN | Time: 0.00008s
Episode 10 | Reward: 92.30 | Steps: 35 | Epsilon: 0.29 | Result: WIN | Time: 0.00011s
Episode 11 | Reward: 91.80 | Steps: 27 | Epsilon: 0.28 | Result: WIN | Time: 0.00009s
Episode 12 | Reward: 93.80 | Steps: 27 | Epsilon: 0.28 | Result: WIN | Time: 0.00008s
Episode 13 | Reward: 91.90 | Steps: 32 | Epsilon: 0.28 | Result: WIN | Time: 0.00010s
Episode 14 | Reward: 92.90 | Steps: 31 | Epsilon: 0.28 | Result: WIN | Time: 0.00010s
Episode 15 | Reward: 92.90 | Steps: 26 | Epsilon: 0.28 | Result: WIN | Time: 0.00008s
Episode 16 | Reward: 93.30 | Steps: 29 | Epsilon: 0.28 | Result: WIN | Time: 0.00009s
Episode 17 | Reward: 93.00 | Steps: 26 | Epsilon: 0.28 | Result: WIN | Time: 0.00008s
Episode 18 | Reward: 90.80 | Steps: 33 | Epsilon: 0.27 | Result: WIN | Time: 0.00011s
Episode 19 | Reward: 97.70 | Steps: 22 | Epsilon: 0.27 | Result: WIN | Time: 0.00007s
Episode 20 | Reward: 96.50 | Steps: 23 | Epsilon: 0.27 | Result: WIN | Time: 0.00008s
Episode 21 | Reward: 96.20 | Steps: 25 | Epsilon: 0.27 | Result: WIN | Time: 0.00008s
Episode 22 | Reward: 89.90 | Steps: 32 | Epsilon: 0.27 | Result: WIN | Time: 0.00010s
Episode 23 | Reward: 96.20 | Steps: 25 | Epsilon: 0.27 | Result: WIN | Time: 0.00008s
Episode 24 | Reward: 93.80 | Steps: 27 | Epsilon: 0.27 | Result: WIN | Time: 0.00009s
Episode 25 | Reward: 91.40 | Steps: 34 | Epsilon: 0.26 | Result: WIN | Time: 0.00011s
Episode 26 | Reward: 92.90 | Steps: 26 | Epsilon: 0.26 | Result: WIN | Time: 0.00008s
Episode 27 | Reward: 97.30 | Steps: 24 | Epsilon: 0.26 | Result: WIN | Time: 0.00008s
Episode 28 | Reward: 90.50 | Steps: 28 | Epsilon: 0.26 | Result: WIN | Time: 0.00009s
Episode 29 | Reward: 97.30 | Steps: 24 | Epsilon: 0.26 | Result: WIN | Time: 0.00008s
Episode 30 | Reward: 98.10 | Steps: 20 | Epsilon: 0.26 | Result: WIN | Time: 0.00006s
Episode 31 | Reward: 90.50 | Steps: 33 | Epsilon: 0.26 | Result: WIN | Time: 0.00011s
Episode 32 | Reward: 88.20 | Steps: 35 | Epsilon: 0.26 | Result: WIN | Time: 0.00011s
Episode 33 | Reward: 96.30 | Steps: 25 | Epsilon: 0.25 | Result: WIN | Time: 0.00009s
Episode 34 | Reward: 90.90 | Steps: 31 | Epsilon: 0.25 | Result: WIN | Time: 0.00010s
Episode 35 | Reward: 94.50 | Steps: 23 | Epsilon: 0.25 | Result: WIN | Time: 0.00007s
Episode 36 | Reward: 87.90 | Steps: 37 | Epsilon: 0.25 | Result: WIN | Time: 0.00012s
Episode 37 | Reward: 92.60 | Steps: 28 | Epsilon: 0.25 | Result: WIN | Time: 0.00009s
Episode 38 | Reward: 92.30 | Steps: 30 | Epsilon: 0.25 | Result: WIN | Time: 0.00009s
Episode 39 | Reward: 88.90 | Steps: 36 | Epsilon: 0.25 | Result: WIN | Time: 0.00012s
Episode 40 | Reward: 93.30 | Steps: 29 | Epsilon: 0.25 | Result: WIN | Time: 0.00009s
Episode 41 | Reward: 95.40 | Steps: 29 | Epsilon: 0.24 | Result: WIN | Time: 0.00009s
Episode 42 | Reward: 96.60 | Steps: 23 | Epsilon: 0.24 | Result: WIN | Time: 0.00007s
Episode 43 | Reward: 93.80 | Steps: 27 | Epsilon: 0.24 | Result: WIN | Time: 0.00009s
Episode 44 | Reward: 94.10 | Steps: 25 | Epsilon: 0.24 | Result: WIN | Time: 0.00008s
Episode 45 | Reward: 95.80 | Steps: 27 | Epsilon: 0.24 | Result: WIN | Time: 0.00009s
Episode 46 | Reward: 97.30 | Steps: 24 | Epsilon: 0.24 | Result: WIN | Time: 0.00008s
Episode 47 | Reward: 97.70 | Steps: 22 | Epsilon: 0.24 | Result: WIN | Time: 0.00007s
Episode 48 | Reward: 92.90 | Steps: 26 | Epsilon: 0.24 | Result: WIN | Time: 0.00008s
Episode 49 | Reward: 92.10 | Steps: 30 | Epsilon: 0.23 | Result: WIN | Time: 0.00010s
Episode 50 | Reward: 94.60 | Steps: 28 | Epsilon: 0.23 | Result: WIN | Time: 0.00009s
Episode 51 | Reward: 94.50 | Steps: 28 | Epsilon: 0.23 | Result: WIN | Time: 0.00009s
Episode 52 | Reward: 95.30 | Steps: 24 | Epsilon: 0.23 | Result: WIN | Time: 0.00008s
Episode 53 | Reward: 92.90 | Steps: 26 | Epsilon: 0.23 | Result: WIN | Time: 0.00008s
Episode 54 | Reward: 91.10 | Steps: 31 | Epsilon: 0.23 | Result: WIN | Time: 0.00010s
Episode 55 | Reward: 91.70 | Steps: 27 | Epsilon: 0.23 | Result: WIN | Time: 0.00009s
Episode 56 | Reward: 97.10 | Steps: 26 | Epsilon: 0.23 | Result: WIN | Time: 0.00008s
Episode 57 | Reward: 95.90 | Steps: 27 | Epsilon: 0.23 | Result: WIN | Time: 0.00009s
