Episode 1 | Reward: -20761.00 | Steps: 35000 | Epsilon: 1.00 | Result: LOSE | Time: 0.1929s
Episode 2 | Reward: -20219.00 | Steps: 35000 | Epsilon: 1.00 | Result: LOSE | Time: 0.1805s
Episode 3 | Reward: -20579.00 | Steps: 35000 | Epsilon: 1.00 | Result: LOSE | Time: 0.1977s
Episode 4 | Reward: -20528.00 | Steps: 35000 | Epsilon: 1.00 | Result: LOSE | Time: 0.1875s
Episode 5 | Reward: -20433.00 | Steps: 35000 | Epsilon: 1.00 | Result: LOSE | Time: 0.1895s
Episode 6 | Reward: -20421.00 | Steps: 35000 | Epsilon: 0.99 | Result: LOSE | Time: 0.1858s
Episode 7 | Reward: -20644.00 | Steps: 35000 | Epsilon: 0.99 | Result: LOSE | Time: 0.1834s
Episode 8 | Reward: -20536.00 | Steps: 35000 | Epsilon: 0.99 | Result: LOSE | Time: 0.1838s
Episode 9 | Reward: -19950.00 | Steps: 35000 | Epsilon: 0.99 | Result: LOSE | Time: 0.1853s
Episode 10 | Reward: -20005.00 | Steps: 35000 | Epsilon: 0.99 | Result: LOSE | Time: 0.1860s
Episode 11 | Reward: -19807.00 | Steps: 35000 | Epsilon: 0.99 | Result: LOSE | Time: 0.1883s
Episode 12 | Reward: -19746.00 | Steps: 35000 | Epsilon: 0.99 | Result: LOSE | Time: 0.1882s
Episode 13 | Reward: -20234.00 | Steps: 35000 | Epsilon: 0.99 | Result: LOSE | Time: 0.1866s
Episode 14 | Reward: -20192.00 | Steps: 35000 | Epsilon: 0.99 | Result: LOSE | Time: 0.1869s
Episode 15 | Reward: -20193.00 | Steps: 35000 | Epsilon: 0.99 | Result: LOSE | Time: 0.1859s
Episode 16 | Reward: -20299.00 | Steps: 35000 | Epsilon: 0.98 | Result: LOSE | Time: 0.1859s
Episode 17 | Reward: -20183.00 | Steps: 35000 | Epsilon: 0.98 | Result: LOSE | Time: 0.1879s
Episode 18 | Reward: -20181.00 | Steps: 35000 | Epsilon: 0.98 | Result: LOSE | Time: 0.2070s
Episode 19 | Reward: -19947.00 | Steps: 35000 | Epsilon: 0.98 | Result: LOSE | Time: 0.1860s
Episode 20 | Reward: -20051.00 | Steps: 35000 | Epsilon: 0.98 | Result: LOSE | Time: 0.1837s
Episode 21 | Reward: -19888.00 | Steps: 35000 | Epsilon: 0.98 | Result: LOSE | Time: 0.1846s
Episode 22 | Reward: -19664.00 | Steps: 35000 | Epsilon: 0.98 | Result: LOSE | Time: 0.1845s
Episode 23 | Reward: -15977.60 | Steps: 28327 | Epsilon: 0.98 | Result: WIN | Time: 0.1499s
Episode 24 | Reward: -19659.00 | Steps: 35000 | Epsilon: 0.98 | Result: LOSE | Time: 0.1865s
Episode 25 | Reward: -19614.00 | Steps: 35000 | Epsilon: 0.98 | Result: LOSE | Time: 0.1852s
Episode 26 | Reward: -20198.00 | Steps: 35000 | Epsilon: 0.97 | Result: LOSE | Time: 0.1860s
Episode 27 | Reward: -19851.00 | Steps: 35000 | Epsilon: 0.97 | Result: LOSE | Time: 0.1879s
Episode 28 | Reward: -19153.00 | Steps: 34421 | Epsilon: 0.97 | Result: WIN | Time: 0.1868s
Episode 29 | Reward: -19736.00 | Steps: 35000 | Epsilon: 0.97 | Result: LOSE | Time: 0.1936s
Episode 30 | Reward: -19422.00 | Steps: 35000 | Epsilon: 0.97 | Result: LOSE | Time: 0.1857s
Episode 31 | Reward: -19011.00 | Steps: 35000 | Epsilon: 0.97 | Result: LOSE | Time: 0.1872s
Episode 32 | Reward: -19077.00 | Steps: 35000 | Epsilon: 0.97 | Result: LOSE | Time: 0.1921s
Episode 33 | Reward: -19086.00 | Steps: 35000 | Epsilon: 0.97 | Result: LOSE | Time: 0.1914s
Episode 34 | Reward: -19152.00 | Steps: 35000 | Epsilon: 0.97 | Result: LOSE | Time: 0.1891s
Episode 35 | Reward: -19321.00 | Steps: 35000 | Epsilon: 0.97 | Result: LOSE | Time: 0.1861s
Episode 36 | Reward: -19092.00 | Steps: 35000 | Epsilon: 0.96 | Result: LOSE | Time: 0.1917s
Episode 37 | Reward: -19181.00 | Steps: 35000 | Epsilon: 0.96 | Result: LOSE | Time: 0.1860s
Episode 38 | Reward: -19227.00 | Steps: 35000 | Epsilon: 0.96 | Result: LOSE | Time: 0.1832s
Episode 39 | Reward: -19016.00 | Steps: 35000 | Epsilon: 0.96 | Result: LOSE | Time: 0.1905s
Episode 40 | Reward: -11159.20 | Steps: 20123 | Epsilon: 0.96 | Result: WIN | Time: 0.1105s
Episode 41 | Reward: -19557.00 | Steps: 35000 | Epsilon: 0.96 | Result: LOSE | Time: 0.1860s
Episode 42 | Reward: -18787.00 | Steps: 35000 | Epsilon: 0.96 | Result: LOSE | Time: 0.1877s
Episode 43 | Reward: -18066.40 | Steps: 32115 | Epsilon: 0.96 | Result: WIN | Time: 0.1723s
Episode 44 | Reward: -12460.90 | Steps: 23930 | Epsilon: 0.96 | Result: WIN | Time: 0.1286s
Episode 45 | Reward: -18466.00 | Steps: 35000 | Epsilon: 0.96 | Result: LOSE | Time: 0.1931s
Episode 46 | Reward: -18829.00 | Steps: 35000 | Epsilon: 0.96 | Result: LOSE | Time: 0.1876s
Episode 47 | Reward: -18673.00 | Steps: 35000 | Epsilon: 0.95 | Result: LOSE | Time: 0.1905s
Episode 48 | Reward: -18113.00 | Steps: 35000 | Epsilon: 0.95 | Result: LOSE | Time: 0.1909s
Episode 49 | Reward: -10008.80 | Steps: 18219 | Epsilon: 0.95 | Result: WIN | Time: 0.0997s
Episode 50 | Reward: -16739.50 | Steps: 30436 | Epsilon: 0.95 | Result: WIN | Time: 0.1651s
Episode 51 | Reward: -4627.60 | Steps: 9007 | Epsilon: 0.95 | Result: WIN | Time: 0.0489s
Episode 52 | Reward: -9821.60 | Steps: 18547 | Epsilon: 0.95 | Result: WIN | Time: 0.1002s
Episode 53 | Reward: -18240.00 | Steps: 35000 | Epsilon: 0.95 | Result: LOSE | Time: 0.1867s
Episode 54 | Reward: -17892.00 | Steps: 35000 | Epsilon: 0.95 | Result: LOSE | Time: 0.1888s
Episode 55 | Reward: -18873.00 | Steps: 35000 | Epsilon: 0.95 | Result: LOSE | Time: 0.1874s
Episode 56 | Reward: -18330.00 | Steps: 35000 | Epsilon: 0.95 | Result: LOSE | Time: 0.1871s
Episode 57 | Reward: -17647.00 | Steps: 35000 | Epsilon: 0.94 | Result: LOSE | Time: 0.1860s
Episode 58 | Reward: -18084.00 | Steps: 35000 | Epsilon: 0.94 | Result: LOSE | Time: 0.1915s
Episode 59 | Reward: -17368.00 | Steps: 35000 | Epsilon: 0.94 | Result: LOSE | Time: 0.1931s
Episode 60 | Reward: -17500.00 | Steps: 35000 | Epsilon: 0.94 | Result: LOSE | Time: 0.1909s
Episode 61 | Reward: -16138.60 | Steps: 31397 | Epsilon: 0.94 | Result: WIN | Time: 0.1653s
Episode 62 | Reward: -11360.40 | Steps: 21275 | Epsilon: 0.94 | Result: WIN | Time: 0.1140s
Episode 63 | Reward: -17749.00 | Steps: 35000 | Epsilon: 0.94 | Result: LOSE | Time: 0.1887s
Episode 64 | Reward: -17547.00 | Steps: 35000 | Epsilon: 0.94 | Result: LOSE | Time: 0.1857s
Episode 65 | Reward: -17217.00 | Steps: 35000 | Epsilon: 0.94 | Result: LOSE | Time: 0.1876s
Episode 66 | Reward: -7821.20 | Steps: 15523 | Epsilon: 0.94 | Result: WIN | Time: 0.0846s
Episode 67 | Reward: -7916.60 | Steps: 14637 | Epsilon: 0.94 | Result: WIN | Time: 0.0802s
Episode 68 | Reward: -16271.60 | Steps: 32607 | Epsilon: 0.93 | Result: WIN | Time: 0.1745s
Episode 69 | Reward: -17492.00 | Steps: 35000 | Epsilon: 0.93 | Result: LOSE | Time: 0.1888s
Episode 70 | Reward: -17575.00 | Steps: 35000 | Epsilon: 0.93 | Result: LOSE | Time: 0.1874s
Episode 71 | Reward: -9997.80 | Steps: 19929 | Epsilon: 0.93 | Result: WIN | Time: 0.1066s
Episode 72 | Reward: -8401.90 | Steps: 17360 | Epsilon: 0.93 | Result: WIN | Time: 0.1192s
Episode 73 | Reward: -17277.00 | Steps: 35000 | Epsilon: 0.93 | Result: LOSE | Time: 0.1888s
Episode 74 | Reward: -17102.00 | Steps: 35000 | Epsilon: 0.93 | Result: LOSE | Time: 0.1883s
Episode 75 | Reward: -16763.00 | Steps: 35000 | Epsilon: 0.93 | Result: LOSE | Time: 0.1904s
Episode 76 | Reward: -12833.40 | Steps: 26525 | Epsilon: 0.93 | Result: WIN | Time: 0.1446s
Episode 77 | Reward: -17272.00 | Steps: 35000 | Epsilon: 0.93 | Result: LOSE | Time: 0.1865s
