Episode 1 | Reward: -255.10 | Steps: 441 | Epsilon: 1.00 | Result: LOSE | Time: 0.0154s
Episode 2 | Reward: -288.10 | Steps: 441 | Epsilon: 0.99 | Result: LOSE | Time: 0.0014s
Episode 3 | Reward: -255.10 | Steps: 441 | Epsilon: 0.99 | Result: LOSE | Time: 0.0014s
Episode 4 | Reward: -269.10 | Steps: 441 | Epsilon: 0.99 | Result: LOSE | Time: 0.0014s
Episode 5 | Reward: -264.10 | Steps: 441 | Epsilon: 0.99 | Result: LOSE | Time: 0.0014s
Episode 6 | Reward: -260.10 | Steps: 441 | Epsilon: 0.98 | Result: LOSE | Time: 0.0014s
Episode 7 | Reward: -264.10 | Steps: 441 | Epsilon: 0.98 | Result: LOSE | Time: 0.0014s
Episode 8 | Reward: -256.10 | Steps: 441 | Epsilon: 0.98 | Result: LOSE | Time: 0.0014s
Episode 9 | Reward: -271.10 | Steps: 441 | Epsilon: 0.97 | Result: LOSE | Time: 0.0014s
Episode 10 | Reward: -258.10 | Steps: 441 | Epsilon: 0.97 | Result: LOSE | Time: 0.0014s
Episode 11 | Reward: -229.10 | Steps: 441 | Epsilon: 0.97 | Result: LOSE | Time: 0.0014s
Episode 12 | Reward: -235.10 | Steps: 441 | Epsilon: 0.96 | Result: LOSE | Time: 0.0014s
Episode 13 | Reward: -241.10 | Steps: 441 | Epsilon: 0.96 | Result: LOSE | Time: 0.0014s
Episode 14 | Reward: -247.10 | Steps: 441 | Epsilon: 0.96 | Result: LOSE | Time: 0.0014s
Episode 15 | Reward: -276.10 | Steps: 441 | Epsilon: 0.96 | Result: LOSE | Time: 0.0014s
Episode 16 | Reward: -265.10 | Steps: 441 | Epsilon: 0.95 | Result: LOSE | Time: 0.0014s
Episode 17 | Reward: -260.10 | Steps: 441 | Epsilon: 0.95 | Result: LOSE | Time: 0.0014s
Episode 18 | Reward: -251.10 | Steps: 441 | Epsilon: 0.95 | Result: LOSE | Time: 0.0014s
Episode 19 | Reward: -265.10 | Steps: 441 | Epsilon: 0.94 | Result: LOSE | Time: 0.0014s
Episode 20 | Reward: -243.10 | Steps: 441 | Epsilon: 0.94 | Result: LOSE | Time: 0.0014s
Episode 21 | Reward: -279.10 | Steps: 441 | Epsilon: 0.94 | Result: LOSE | Time: 0.0014s
Episode 22 | Reward: -246.10 | Steps: 441 | Epsilon: 0.94 | Result: LOSE | Time: 0.0014s
Episode 23 | Reward: -249.10 | Steps: 441 | Epsilon: 0.93 | Result: LOSE | Time: 0.0015s
Episode 24 | Reward: -251.10 | Steps: 441 | Epsilon: 0.93 | Result: LOSE | Time: 0.0014s
Episode 25 | Reward: -249.10 | Steps: 441 | Epsilon: 0.93 | Result: LOSE | Time: 0.0014s
Episode 26 | Reward: -237.10 | Steps: 441 | Epsilon: 0.92 | Result: LOSE | Time: 0.0014s
Episode 27 | Reward: -261.10 | Steps: 441 | Epsilon: 0.92 | Result: LOSE | Time: 0.0014s
Episode 28 | Reward: -253.10 | Steps: 441 | Epsilon: 0.92 | Result: LOSE | Time: 0.0014s
Episode 29 | Reward: -226.10 | Steps: 441 | Epsilon: 0.92 | Result: LOSE | Time: 0.0014s
Episode 30 | Reward: -258.10 | Steps: 441 | Epsilon: 0.91 | Result: LOSE | Time: 0.0015s
Episode 31 | Reward: -243.10 | Steps: 441 | Epsilon: 0.91 | Result: LOSE | Time: 0.0014s
Episode 32 | Reward: -238.10 | Steps: 441 | Epsilon: 0.91 | Result: LOSE | Time: 0.0014s
Episode 33 | Reward: -229.10 | Steps: 441 | Epsilon: 0.91 | Result: LOSE | Time: 0.0014s
Episode 34 | Reward: -245.10 | Steps: 441 | Epsilon: 0.90 | Result: LOSE | Time: 0.0014s
Episode 35 | Reward: -246.10 | Steps: 441 | Epsilon: 0.90 | Result: LOSE | Time: 0.0014s
Episode 36 | Reward: -245.10 | Steps: 441 | Epsilon: 0.90 | Result: LOSE | Time: 0.0014s
Episode 37 | Reward: -234.10 | Steps: 441 | Epsilon: 0.89 | Result: LOSE | Time: 0.0014s
Episode 38 | Reward: -239.10 | Steps: 441 | Epsilon: 0.89 | Result: LOSE | Time: 0.0014s
Episode 39 | Reward: -252.10 | Steps: 441 | Epsilon: 0.89 | Result: LOSE | Time: 0.0014s
Episode 40 | Reward: -227.10 | Steps: 441 | Epsilon: 0.89 | Result: LOSE | Time: 0.0014s
Episode 41 | Reward: -236.10 | Steps: 441 | Epsilon: 0.88 | Result: LOSE | Time: 0.0014s
Episode 42 | Reward: -244.10 | Steps: 441 | Epsilon: 0.88 | Result: LOSE | Time: 0.0014s
Episode 43 | Reward: -222.10 | Steps: 441 | Epsilon: 0.88 | Result: LOSE | Time: 0.0014s
Episode 44 | Reward: -232.10 | Steps: 441 | Epsilon: 0.88 | Result: LOSE | Time: 0.0014s
Episode 45 | Reward: -241.10 | Steps: 441 | Epsilon: 0.87 | Result: LOSE | Time: 0.0015s
Episode 46 | Reward: -245.10 | Steps: 441 | Epsilon: 0.87 | Result: LOSE | Time: 0.0014s
Episode 47 | Reward: -262.10 | Steps: 441 | Epsilon: 0.87 | Result: LOSE | Time: 0.0015s
Episode 48 | Reward: -234.10 | Steps: 441 | Epsilon: 0.87 | Result: LOSE | Time: 0.0015s
Episode 49 | Reward: -234.10 | Steps: 441 | Epsilon: 0.86 | Result: LOSE | Time: 0.0014s
Episode 50 | Reward: -233.10 | Steps: 441 | Epsilon: 0.86 | Result: LOSE | Time: 0.0015s
Episode 51 | Reward: -243.10 | Steps: 441 | Epsilon: 0.86 | Result: LOSE | Time: 0.0014s
Episode 52 | Reward: -223.10 | Steps: 441 | Epsilon: 0.86 | Result: LOSE | Time: 0.0015s
Episode 53 | Reward: -224.10 | Steps: 441 | Epsilon: 0.85 | Result: LOSE | Time: 0.0014s
Episode 54 | Reward: -208.10 | Steps: 441 | Epsilon: 0.85 | Result: LOSE | Time: 0.0015s
Episode 55 | Reward: -222.10 | Steps: 441 | Epsilon: 0.85 | Result: LOSE | Time: 0.0014s
Episode 56 | Reward: -230.10 | Steps: 441 | Epsilon: 0.85 | Result: LOSE | Time: 0.0015s
Episode 57 | Reward: -239.10 | Steps: 441 | Epsilon: 0.84 | Result: LOSE | Time: 0.0015s
Episode 58 | Reward: -213.10 | Steps: 441 | Epsilon: 0.84 | Result: LOSE | Time: 0.0014s
Episode 59 | Reward: -218.10 | Steps: 441 | Epsilon: 0.84 | Result: LOSE | Time: 0.0015s
Episode 60 | Reward: -227.10 | Steps: 441 | Epsilon: 0.84 | Result: LOSE | Time: 0.0014s
Episode 61 | Reward: -247.10 | Steps: 441 | Epsilon: 0.83 | Result: LOSE | Time: 0.0015s
Episode 62 | Reward: -229.10 | Steps: 441 | Epsilon: 0.83 | Result: LOSE | Time: 0.0015s
Episode 63 | Reward: -240.10 | Steps: 441 | Epsilon: 0.83 | Result: LOSE | Time: 0.0015s
Episode 64 | Reward: -236.10 | Steps: 441 | Epsilon: 0.83 | Result: LOSE | Time: 0.0015s
Episode 65 | Reward: -247.10 | Steps: 441 | Epsilon: 0.82 | Result: LOSE | Time: 0.0015s
Episode 66 | Reward: -224.10 | Steps: 441 | Epsilon: 0.82 | Result: LOSE | Time: 0.0014s
Episode 67 | Reward: -234.10 | Steps: 441 | Epsilon: 0.82 | Result: LOSE | Time: 0.0015s
Episode 68 | Reward: -218.10 | Steps: 441 | Epsilon: 0.82 | Result: LOSE | Time: 0.0014s
Episode 69 | Reward: -236.10 | Steps: 441 | Epsilon: 0.81 | Result: LOSE | Time: 0.0015s
Episode 70 | Reward: -242.10 | Steps: 441 | Epsilon: 0.81 | Result: LOSE | Time: 0.0014s
Episode 71 | Reward: -222.10 | Steps: 441 | Epsilon: 0.81 | Result: LOSE | Time: 0.0014s
Episode 72 | Reward: -224.10 | Steps: 441 | Epsilon: 0.81 | Result: LOSE | Time: 0.0015s
Episode 73 | Reward: -216.10 | Steps: 441 | Epsilon: 0.80 | Result: LOSE | Time: 0.0015s
Episode 74 | Reward: -243.10 | Steps: 441 | Epsilon: 0.80 | Result: LOSE | Time: 0.0015s
Episode 75 | Reward: -256.10 | Steps: 441 | Epsilon: 0.80 | Result: LOSE | Time: 0.0016s
Episode 76 | Reward: -227.10 | Steps: 441 | Epsilon: 0.80 | Result: LOSE | Time: 0.0015s
Episode 77 | Reward: -240.10 | Steps: 441 | Epsilon: 0.79 | Result: LOSE | Time: 0.0014s
Episode 78 | Reward: -240.10 | Steps: 441 | Epsilon: 0.79 | Result: LOSE | Time: 0.0014s
Episode 79 | Reward: -218.10 | Steps: 441 | Epsilon: 0.79 | Result: LOSE | Time: 0.0014s
Episode 80 | Reward: -234.10 | Steps: 441 | Epsilon: 0.79 | Result: LOSE | Time: 0.0014s
Episode 81 | Reward: -237.10 | Steps: 441 | Epsilon: 0.78 | Result: LOSE | Time: 0.0014s
Episode 82 | Reward: -224.10 | Steps: 441 | Epsilon: 0.78 | Result: LOSE | Time: 0.0016s
Episode 83 | Reward: -259.10 | Steps: 441 | Epsilon: 0.78 | Result: LOSE | Time: 0.0014s
Episode 84 | Reward: -207.10 | Steps: 441 | Epsilon: 0.78 | Result: LOSE | Time: 0.0014s
Episode 85 | Reward: -229.10 | Steps: 441 | Epsilon: 0.77 | Result: LOSE | Time: 0.0014s
Episode 86 | Reward: -214.10 | Steps: 441 | Epsilon: 0.77 | Result: LOSE | Time: 0.0014s
Episode 87 | Reward: -233.10 | Steps: 441 | Epsilon: 0.77 | Result: LOSE | Time: 0.0014s
Episode 88 | Reward: -212.10 | Steps: 441 | Epsilon: 0.77 | Result: LOSE | Time: 0.0015s
Episode 89 | Reward: -240.10 | Steps: 441 | Epsilon: 0.77 | Result: LOSE | Time: 0.0014s
Episode 90 | Reward: -240.10 | Steps: 441 | Epsilon: 0.76 | Result: LOSE | Time: 0.0014s
Episode 91 | Reward: -218.10 | Steps: 441 | Epsilon: 0.76 | Result: LOSE | Time: 0.0014s
Episode 92 | Reward: -242.10 | Steps: 441 | Epsilon: 0.76 | Result: LOSE | Time: 0.0014s
Episode 93 | Reward: -45.10 | Steps: 292 | Epsilon: 0.76 | Result: WIN | Time: 0.0009s
Episode 94 | Reward: -244.10 | Steps: 441 | Epsilon: 0.75 | Result: LOSE | Time: 0.0014s
Episode 95 | Reward: -118.00 | Steps: 391 | Epsilon: 0.75 | Result: WIN | Time: 0.0012s
Episode 96 | Reward: -220.10 | Steps: 441 | Epsilon: 0.75 | Result: LOSE | Time: 0.0014s
Episode 97 | Reward: -228.10 | Steps: 441 | Epsilon: 0.75 | Result: LOSE | Time: 0.0014s
Episode 98 | Reward: -221.10 | Steps: 441 | Epsilon: 0.74 | Result: LOSE | Time: 0.0014s
Episode 99 | Reward: -56.50 | Steps: 326 | Epsilon: 0.74 | Result: WIN | Time: 0.0011s
Episode 100 | Reward: -215.10 | Steps: 441 | Epsilon: 0.74 | Result: LOSE | Time: 0.0015s
Episode 101 | Reward: -220.10 | Steps: 441 | Epsilon: 0.74 | Result: LOSE | Time: 0.0014s
Episode 102 | Reward: -220.10 | Steps: 441 | Epsilon: 0.74 | Result: LOSE | Time: 0.0014s
Episode 103 | Reward: -222.10 | Steps: 441 | Epsilon: 0.73 | Result: LOSE | Time: 0.0014s
Episode 104 | Reward: -263.10 | Steps: 441 | Epsilon: 0.73 | Result: LOSE | Time: 0.0014s
Episode 105 | Reward: -87.90 | Steps: 400 | Epsilon: 0.73 | Result: WIN | Time: 0.0013s
Episode 106 | Reward: -69.10 | Steps: 332 | Epsilon: 0.73 | Result: WIN | Time: 0.0011s
Episode 107 | Reward: -89.50 | Steps: 396 | Epsilon: 0.73 | Result: WIN | Time: 0.0013s
Episode 108 | Reward: -231.10 | Steps: 441 | Epsilon: 0.72 | Result: LOSE | Time: 0.0014s
Episode 109 | Reward: 36.50 | Steps: 156 | Epsilon: 0.72 | Result: WIN | Time: 0.0005s
Episode 110 | Reward: -231.10 | Steps: 441 | Epsilon: 0.72 | Result: LOSE | Time: 0.0014s
Episode 111 | Reward: -248.10 | Steps: 441 | Epsilon: 0.72 | Result: LOSE | Time: 0.0014s
Episode 112 | Reward: -238.10 | Steps: 441 | Epsilon: 0.71 | Result: LOSE | Time: 0.0015s
Episode 113 | Reward: 5.20 | Steps: 239 | Epsilon: 0.71 | Result: WIN | Time: 0.0008s
Episode 114 | Reward: 9.00 | Steps: 201 | Epsilon: 0.71 | Result: WIN | Time: 0.0006s
Episode 115 | Reward: -216.10 | Steps: 441 | Epsilon: 0.71 | Result: LOSE | Time: 0.0014s
Episode 116 | Reward: 19.20 | Steps: 179 | Epsilon: 0.71 | Result: WIN | Time: 0.0006s
Episode 117 | Reward: -11.40 | Steps: 245 | Epsilon: 0.70 | Result: WIN | Time: 0.0008s
Episode 118 | Reward: -28.00 | Steps: 291 | Epsilon: 0.70 | Result: WIN | Time: 0.0009s
Episode 119 | Reward: -5.20 | Steps: 223 | Epsilon: 0.70 | Result: WIN | Time: 0.0007s
Episode 120 | Reward: -245.10 | Steps: 441 | Epsilon: 0.70 | Result: LOSE | Time: 0.0014s
Episode 121 | Reward: -42.50 | Steps: 266 | Epsilon: 0.70 | Result: WIN | Time: 0.0008s
Episode 122 | Reward: -40.90 | Steps: 310 | Epsilon: 0.69 | Result: WIN | Time: 0.0010s
Episode 123 | Reward: 9.60 | Steps: 215 | Epsilon: 0.69 | Result: WIN | Time: 0.0007s
Episode 124 | Reward: -229.10 | Steps: 441 | Epsilon: 0.69 | Result: LOSE | Time: 0.0014s
Episode 125 | Reward: -221.10 | Steps: 441 | Epsilon: 0.69 | Result: LOSE | Time: 0.0014s
Episode 126 | Reward: -222.10 | Steps: 441 | Epsilon: 0.68 | Result: LOSE | Time: 0.0015s
Episode 127 | Reward: -234.10 | Steps: 441 | Epsilon: 0.68 | Result: LOSE | Time: 0.0015s
Episode 128 | Reward: -203.10 | Steps: 441 | Epsilon: 0.68 | Result: LOSE | Time: 0.0015s
Episode 129 | Reward: -9.50 | Steps: 256 | Epsilon: 0.68 | Result: WIN | Time: 0.0008s
Episode 130 | Reward: -214.10 | Steps: 441 | Epsilon: 0.68 | Result: LOSE | Time: 0.0014s
Episode 131 | Reward: -233.10 | Steps: 441 | Epsilon: 0.67 | Result: LOSE | Time: 0.0014s
Episode 132 | Reward: -220.10 | Steps: 441 | Epsilon: 0.67 | Result: LOSE | Time: 0.0013s
Episode 133 | Reward: -225.10 | Steps: 441 | Epsilon: 0.67 | Result: LOSE | Time: 0.0014s
Episode 134 | Reward: -213.10 | Steps: 441 | Epsilon: 0.67 | Result: LOSE | Time: 0.0013s
Episode 135 | Reward: -217.10 | Steps: 441 | Epsilon: 0.67 | Result: LOSE | Time: 0.0014s
Episode 136 | Reward: -6.50 | Steps: 246 | Epsilon: 0.66 | Result: WIN | Time: 0.0008s
Episode 137 | Reward: 7.30 | Steps: 208 | Epsilon: 0.66 | Result: WIN | Time: 0.0007s
Episode 138 | Reward: -208.10 | Steps: 441 | Epsilon: 0.66 | Result: LOSE | Time: 0.0014s
Episode 139 | Reward: -201.10 | Steps: 441 | Epsilon: 0.66 | Result: LOSE | Time: 0.0014s
Episode 140 | Reward: 14.90 | Steps: 212 | Epsilon: 0.66 | Result: WIN | Time: 0.0007s
Episode 141 | Reward: 41.90 | Steps: 142 | Epsilon: 0.65 | Result: WIN | Time: 0.0005s
Episode 142 | Reward: 21.70 | Steps: 184 | Epsilon: 0.65 | Result: WIN | Time: 0.0006s
Episode 143 | Reward: 46.80 | Steps: 143 | Epsilon: 0.65 | Result: WIN | Time: 0.0005s
Episode 144 | Reward: 5.00 | Steps: 221 | Epsilon: 0.65 | Result: WIN | Time: 0.0007s
Episode 145 | Reward: 44.20 | Steps: 129 | Epsilon: 0.65 | Result: WIN | Time: 0.0004s
Episode 146 | Reward: -27.30 | Steps: 294 | Epsilon: 0.64 | Result: WIN | Time: 0.0010s
Episode 147 | Reward: 23.80 | Steps: 193 | Epsilon: 0.64 | Result: WIN | Time: 0.0006s
Episode 148 | Reward: -25.90 | Steps: 300 | Epsilon: 0.64 | Result: WIN | Time: 0.0009s
Episode 149 | Reward: -5.80 | Steps: 229 | Epsilon: 0.64 | Result: WIN | Time: 0.0007s
Episode 150 | Reward: 42.10 | Steps: 160 | Epsilon: 0.64 | Result: WIN | Time: 0.0005s
Episode 151 | Reward: 12.50 | Steps: 236 | Epsilon: 0.64 | Result: WIN | Time: 0.0008s
Episode 152 | Reward: -218.10 | Steps: 441 | Epsilon: 0.63 | Result: LOSE | Time: 0.0014s
Episode 153 | Reward: 34.30 | Steps: 178 | Epsilon: 0.63 | Result: WIN | Time: 0.0006s
Episode 154 | Reward: 50.70 | Steps: 134 | Epsilon: 0.63 | Result: WIN | Time: 0.0004s
Episode 155 | Reward: 41.20 | Steps: 159 | Epsilon: 0.63 | Result: WIN | Time: 0.0005s
Episode 156 | Reward: 66.40 | Steps: 107 | Epsilon: 0.63 | Result: WIN | Time: 0.0003s
Episode 157 | Reward: 40.00 | Steps: 151 | Epsilon: 0.62 | Result: WIN | Time: 0.0005s
Episode 158 | Reward: 61.60 | Steps: 115 | Epsilon: 0.62 | Result: WIN | Time: 0.0004s
Episode 159 | Reward: 49.90 | Steps: 142 | Epsilon: 0.62 | Result: WIN | Time: 0.0004s
Episode 160 | Reward: 23.50 | Steps: 186 | Epsilon: 0.62 | Result: WIN | Time: 0.0006s
Episode 161 | Reward: 28.40 | Steps: 187 | Epsilon: 0.62 | Result: WIN | Time: 0.0006s
Episode 162 | Reward: 15.70 | Steps: 184 | Epsilon: 0.61 | Result: WIN | Time: 0.0006s
Episode 163 | Reward: 71.80 | Steps: 93 | Epsilon: 0.61 | Result: WIN | Time: 0.0003s
Episode 164 | Reward: 41.70 | Steps: 164 | Epsilon: 0.61 | Result: WIN | Time: 0.0005s
Episode 165 | Reward: 56.80 | Steps: 123 | Epsilon: 0.61 | Result: WIN | Time: 0.0004s
Episode 166 | Reward: 42.30 | Steps: 138 | Epsilon: 0.61 | Result: WIN | Time: 0.0004s
Episode 167 | Reward: 52.00 | Steps: 131 | Epsilon: 0.61 | Result: WIN | Time: 0.0004s
Episode 168 | Reward: 56.90 | Steps: 132 | Epsilon: 0.60 | Result: WIN | Time: 0.0004s
Episode 169 | Reward: 38.40 | Steps: 167 | Epsilon: 0.60 | Result: WIN | Time: 0.0005s
Episode 170 | Reward: 48.30 | Steps: 138 | Epsilon: 0.60 | Result: WIN | Time: 0.0004s
Episode 171 | Reward: 58.00 | Steps: 131 | Epsilon: 0.60 | Result: WIN | Time: 0.0004s
Episode 172 | Reward: 41.90 | Steps: 162 | Epsilon: 0.60 | Result: WIN | Time: 0.0005s
Episode 173 | Reward: 51.50 | Steps: 126 | Epsilon: 0.59 | Result: WIN | Time: 0.0004s
Episode 174 | Reward: 46.30 | Steps: 158 | Epsilon: 0.59 | Result: WIN | Time: 0.0005s
Episode 175 | Reward: 56.60 | Steps: 125 | Epsilon: 0.59 | Result: WIN | Time: 0.0004s
Episode 176 | Reward: 40.60 | Steps: 165 | Epsilon: 0.59 | Result: WIN | Time: 0.0006s
Episode 177 | Reward: 59.90 | Steps: 102 | Epsilon: 0.59 | Result: WIN | Time: 0.0003s
Episode 178 | Reward: 13.60 | Steps: 215 | Epsilon: 0.59 | Result: WIN | Time: 0.0007s
Episode 179 | Reward: 40.20 | Steps: 169 | Epsilon: 0.58 | Result: WIN | Time: 0.0005s
Episode 180 | Reward: 58.20 | Steps: 129 | Epsilon: 0.58 | Result: WIN | Time: 0.0004s
Episode 181 | Reward: 54.10 | Steps: 140 | Epsilon: 0.58 | Result: WIN | Time: 0.0004s
