Episode 1 | Reward: -54.50 | Steps: 252 | Epsilon: 0.20 | Result: WIN | Time: 0.00087s
Episode 2 | Reward: 83.50 | Steps: 34 | Epsilon: 0.20 | Result: WIN | Time: 0.00011s
Episode 3 | Reward: -60.30 | Steps: 269 | Epsilon: 0.20 | Result: WIN | Time: 0.00086s
Episode 4 | Reward: 94.10 | Steps: 15 | Epsilon: 0.20 | Result: WIN | Time: 0.00006s
Episode 5 | Reward: 99.20 | Steps: 9 | Epsilon: 0.20 | Result: WIN | Time: 0.00003s
Episode 6 | Reward: 95.70 | Steps: 17 | Epsilon: 0.19 | Result: WIN | Time: 0.00006s
Episode 7 | Reward: 98.00 | Steps: 10 | Epsilon: 0.19 | Result: WIN | Time: 0.00004s
Episode 8 | Reward: 98.00 | Steps: 17 | Epsilon: 0.19 | Result: WIN | Time: 0.00009s
Episode 9 | Reward: 98.40 | Steps: 13 | Epsilon: 0.19 | Result: WIN | Time: 0.00005s
Episode 10 | Reward: 99.20 | Steps: 9 | Epsilon: 0.19 | Result: WIN | Time: 0.00003s
Episode 11 | Reward: 99.20 | Steps: 9 | Epsilon: 0.19 | Result: WIN | Time: 0.00003s
Episode 12 | Reward: 96.50 | Steps: 13 | Epsilon: 0.19 | Result: WIN | Time: 0.00004s
Episode 13 | Reward: 96.00 | Steps: 15 | Epsilon: 0.19 | Result: WIN | Time: 0.00005s
Episode 14 | Reward: 95.60 | Steps: 12 | Epsilon: 0.19 | Result: WIN | Time: 0.00004s
Episode 15 | Reward: 98.00 | Steps: 10 | Epsilon: 0.19 | Result: WIN | Time: 0.00003s
Episode 16 | Reward: 92.50 | Steps: 18 | Epsilon: 0.18 | Result: WIN | Time: 0.00006s
Episode 17 | Reward: 98.90 | Steps: 11 | Epsilon: 0.18 | Result: WIN | Time: 0.00004s
Episode 18 | Reward: 98.00 | Steps: 10 | Epsilon: 0.18 | Result: WIN | Time: 0.00004s
Episode 19 | Reward: 96.80 | Steps: 18 | Epsilon: 0.18 | Result: WIN | Time: 0.00006s
Episode 20 | Reward: 98.80 | Steps: 11 | Epsilon: 0.18 | Result: WIN | Time: 0.00003s
Episode 21 | Reward: 97.60 | Steps: 12 | Epsilon: 0.18 | Result: WIN | Time: 0.00004s
Episode 22 | Reward: 98.00 | Steps: 10 | Epsilon: 0.18 | Result: WIN | Time: 0.00003s
Episode 23 | Reward: 97.60 | Steps: 12 | Epsilon: 0.18 | Result: WIN | Time: 0.00004s
Episode 24 | Reward: 97.70 | Steps: 12 | Epsilon: 0.18 | Result: WIN | Time: 0.00004s
Episode 25 | Reward: 96.80 | Steps: 11 | Epsilon: 0.18 | Result: WIN | Time: 0.00004s
Episode 26 | Reward: 98.80 | Steps: 11 | Epsilon: 0.18 | Result: WIN | Time: 0.00004s
Episode 27 | Reward: 96.80 | Steps: 11 | Epsilon: 0.17 | Result: WIN | Time: 0.00003s
Episode 28 | Reward: 98.80 | Steps: 11 | Epsilon: 0.17 | Result: WIN | Time: 0.00004s
Episode 29 | Reward: 99.20 | Steps: 9 | Epsilon: 0.17 | Result: WIN | Time: 0.00003s
Episode 30 | Reward: 98.00 | Steps: 10 | Epsilon: 0.17 | Result: WIN | Time: 0.00003s
Episode 31 | Reward: 96.80 | Steps: 11 | Epsilon: 0.17 | Result: WIN | Time: 0.00004s
Episode 32 | Reward: 97.70 | Steps: 12 | Epsilon: 0.17 | Result: WIN | Time: 0.00004s
Episode 33 | Reward: 99.20 | Steps: 9 | Epsilon: 0.17 | Result: WIN | Time: 0.00003s
Episode 34 | Reward: 97.60 | Steps: 12 | Epsilon: 0.17 | Result: WIN | Time: 0.00004s
Episode 35 | Reward: 99.20 | Steps: 9 | Epsilon: 0.17 | Result: WIN | Time: 0.00003s
Episode 36 | Reward: 97.60 | Steps: 12 | Epsilon: 0.17 | Result: WIN | Time: 0.00004s
Episode 37 | Reward: 98.00 | Steps: 10 | Epsilon: 0.17 | Result: WIN | Time: 0.00003s
Episode 38 | Reward: 98.80 | Steps: 11 | Epsilon: 0.17 | Result: WIN | Time: 0.00003s
Episode 39 | Reward: 98.80 | Steps: 11 | Epsilon: 0.16 | Result: WIN | Time: 0.00003s
Episode 40 | Reward: 98.80 | Steps: 11 | Epsilon: 0.16 | Result: WIN | Time: 0.00003s
Episode 41 | Reward: 99.20 | Steps: 9 | Epsilon: 0.16 | Result: WIN | Time: 0.00003s
Episode 42 | Reward: 98.00 | Steps: 10 | Epsilon: 0.16 | Result: WIN | Time: 0.00003s
Episode 43 | Reward: 98.00 | Steps: 10 | Epsilon: 0.16 | Result: WIN | Time: 0.00003s
Episode 44 | Reward: 99.20 | Steps: 9 | Epsilon: 0.16 | Result: WIN | Time: 0.00003s
Episode 45 | Reward: 99.20 | Steps: 9 | Epsilon: 0.16 | Result: WIN | Time: 0.00003s
Episode 46 | Reward: 99.20 | Steps: 9 | Epsilon: 0.16 | Result: WIN | Time: 0.00003s
Episode 47 | Reward: 99.20 | Steps: 9 | Epsilon: 0.16 | Result: WIN | Time: 0.00003s
Episode 48 | Reward: 98.00 | Steps: 10 | Epsilon: 0.16 | Result: WIN | Time: 0.00003s
Episode 49 | Reward: 99.20 | Steps: 9 | Epsilon: 0.16 | Result: WIN | Time: 0.00003s
Episode 50 | Reward: 99.20 | Steps: 9 | Epsilon: 0.16 | Result: WIN | Time: 0.00003s
Episode 51 | Reward: 92.90 | Steps: 16 | Epsilon: 0.15 | Result: WIN | Time: 0.00005s
Episode 52 | Reward: 99.20 | Steps: 9 | Epsilon: 0.15 | Result: WIN | Time: 0.00003s
Episode 53 | Reward: 96.80 | Steps: 11 | Epsilon: 0.15 | Result: WIN | Time: 0.00003s
Episode 54 | Reward: 98.00 | Steps: 10 | Epsilon: 0.15 | Result: WIN | Time: 0.00003s
Episode 55 | Reward: 98.80 | Steps: 11 | Epsilon: 0.15 | Result: WIN | Time: 0.00003s
Episode 56 | Reward: 99.20 | Steps: 9 | Epsilon: 0.15 | Result: WIN | Time: 0.00003s
Episode 57 | Reward: 98.00 | Steps: 10 | Epsilon: 0.15 | Result: WIN | Time: 0.00003s
Episode 58 | Reward: 98.80 | Steps: 11 | Epsilon: 0.15 | Result: WIN | Time: 0.00003s
Episode 59 | Reward: 96.50 | Steps: 13 | Epsilon: 0.15 | Result: WIN | Time: 0.00004s
Episode 60 | Reward: 99.20 | Steps: 9 | Epsilon: 0.15 | Result: WIN | Time: 0.00003s
Episode 61 | Reward: 99.20 | Steps: 9 | Epsilon: 0.15 | Result: WIN | Time: 0.00003s
Episode 62 | Reward: 98.00 | Steps: 10 | Epsilon: 0.15 | Result: WIN | Time: 0.00003s
Episode 63 | Reward: 98.00 | Steps: 10 | Epsilon: 0.15 | Result: WIN | Time: 0.00003s
Episode 64 | Reward: 98.90 | Steps: 11 | Epsilon: 0.15 | Result: WIN | Time: 0.00003s
Episode 65 | Reward: 99.20 | Steps: 9 | Epsilon: 0.14 | Result: WIN | Time: 0.00003s
Episode 66 | Reward: 96.40 | Steps: 15 | Epsilon: 0.14 | Result: WIN | Time: 0.00005s
Episode 67 | Reward: 99.20 | Steps: 9 | Epsilon: 0.14 | Result: WIN | Time: 0.00003s
Episode 68 | Reward: 97.60 | Steps: 14 | Epsilon: 0.14 | Result: WIN | Time: 0.00004s
Episode 69 | Reward: 99.20 | Steps: 9 | Epsilon: 0.14 | Result: WIN | Time: 0.00003s
Episode 70 | Reward: 99.20 | Steps: 9 | Epsilon: 0.14 | Result: WIN | Time: 0.00003s
Episode 71 | Reward: 98.80 | Steps: 11 | Epsilon: 0.14 | Result: WIN | Time: 0.00003s
Episode 72 | Reward: 98.00 | Steps: 10 | Epsilon: 0.14 | Result: WIN | Time: 0.00003s
Episode 73 | Reward: 98.00 | Steps: 10 | Epsilon: 0.14 | Result: WIN | Time: 0.00003s
Episode 74 | Reward: 98.80 | Steps: 13 | Epsilon: 0.14 | Result: WIN | Time: 0.00004s
Episode 75 | Reward: 96.80 | Steps: 11 | Epsilon: 0.14 | Result: WIN | Time: 0.00003s
Episode 76 | Reward: 97.60 | Steps: 12 | Epsilon: 0.14 | Result: WIN | Time: 0.00004s
Episode 77 | Reward: 99.20 | Steps: 9 | Epsilon: 0.14 | Result: WIN | Time: 0.00003s
Episode 78 | Reward: 98.80 | Steps: 11 | Epsilon: 0.14 | Result: WIN | Time: 0.00003s
Episode 79 | Reward: 98.00 | Steps: 10 | Epsilon: 0.13 | Result: WIN | Time: 0.00003s
Episode 80 | Reward: 99.20 | Steps: 9 | Epsilon: 0.13 | Result: WIN | Time: 0.00003s
Episode 81 | Reward: 61.50 | Steps: 56 | Epsilon: 0.13 | Result: WIN | Time: 0.00017s
Episode 82 | Reward: 99.20 | Steps: 9 | Epsilon: 0.13 | Result: WIN | Time: 0.00003s
Episode 83 | Reward: 99.20 | Steps: 9 | Epsilon: 0.13 | Result: WIN | Time: 0.00003s
Episode 84 | Reward: 96.40 | Steps: 13 | Epsilon: 0.13 | Result: WIN | Time: 0.00004s
Episode 85 | Reward: 98.00 | Steps: 10 | Epsilon: 0.13 | Result: WIN | Time: 0.00003s
Episode 86 | Reward: 98.00 | Steps: 10 | Epsilon: 0.13 | Result: WIN | Time: 0.00004s
Episode 87 | Reward: 97.70 | Steps: 12 | Epsilon: 0.13 | Result: WIN | Time: 0.00004s
Episode 88 | Reward: 98.40 | Steps: 13 | Epsilon: 0.13 | Result: WIN | Time: 0.00004s
Episode 89 | Reward: 99.20 | Steps: 9 | Epsilon: 0.13 | Result: WIN | Time: 0.00003s
Episode 90 | Reward: 96.10 | Steps: 15 | Epsilon: 0.13 | Result: WIN | Time: 0.00005s
Episode 91 | Reward: 95.60 | Steps: 12 | Epsilon: 0.13 | Result: WIN | Time: 0.00004s
Episode 92 | Reward: 96.80 | Steps: 11 | Epsilon: 0.13 | Result: WIN | Time: 0.00004s
Episode 93 | Reward: 99.20 | Steps: 9 | Epsilon: 0.13 | Result: WIN | Time: 0.00003s
Episode 94 | Reward: 99.20 | Steps: 9 | Epsilon: 0.12 | Result: WIN | Time: 0.00003s
Episode 95 | Reward: 98.00 | Steps: 17 | Epsilon: 0.12 | Result: WIN | Time: 0.00006s
Episode 96 | Reward: 98.80 | Steps: 11 | Epsilon: 0.12 | Result: WIN | Time: 0.00003s
Episode 97 | Reward: 96.80 | Steps: 11 | Epsilon: 0.12 | Result: WIN | Time: 0.00004s
Episode 98 | Reward: 98.00 | Steps: 10 | Epsilon: 0.12 | Result: WIN | Time: 0.00003s
Episode 99 | Reward: 99.20 | Steps: 9 | Epsilon: 0.12 | Result: WIN | Time: 0.00003s
Episode 100 | Reward: 99.20 | Steps: 9 | Epsilon: 0.12 | Result: WIN | Time: 0.00003s
Episode 101 | Reward: 98.80 | Steps: 11 | Epsilon: 0.12 | Result: WIN | Time: 0.00003s
Episode 102 | Reward: 98.80 | Steps: 11 | Epsilon: 0.12 | Result: WIN | Time: 0.00003s
Episode 103 | Reward: 97.60 | Steps: 12 | Epsilon: 0.12 | Result: WIN | Time: 0.00004s
Episode 104 | Reward: 99.20 | Steps: 9 | Epsilon: 0.12 | Result: WIN | Time: 0.00003s
Episode 105 | Reward: 97.70 | Steps: 12 | Epsilon: 0.12 | Result: WIN | Time: 0.00004s
Episode 106 | Reward: 99.20 | Steps: 9 | Epsilon: 0.12 | Result: WIN | Time: 0.00003s
Episode 107 | Reward: 98.00 | Steps: 10 | Epsilon: 0.12 | Result: WIN | Time: 0.00003s
Episode 108 | Reward: 99.20 | Steps: 9 | Epsilon: 0.12 | Result: WIN | Time: 0.00003s
Episode 109 | Reward: 99.20 | Steps: 9 | Epsilon: 0.12 | Result: WIN | Time: 0.00003s
Episode 110 | Reward: 98.00 | Steps: 10 | Epsilon: 0.12 | Result: WIN | Time: 0.00003s
Episode 111 | Reward: 98.90 | Steps: 11 | Epsilon: 0.11 | Result: WIN | Time: 0.00003s
Episode 112 | Reward: 98.80 | Steps: 11 | Epsilon: 0.11 | Result: WIN | Time: 0.00003s
