Episode 1 | Reward: -64.10 | Steps: 121 | Epsilon: 1.00 | Result: LOSE | Time: 0.0066s
Episode 2 | Reward: -64.10 | Steps: 121 | Epsilon: 0.99 | Result: LOSE | Time: 0.0004s
Episode 3 | Reward: -84.10 | Steps: 121 | Epsilon: 0.99 | Result: LOSE | Time: 0.0004s
Episode 4 | Reward: -81.10 | Steps: 121 | Epsilon: 0.99 | Result: LOSE | Time: 0.0004s
Episode 5 | Reward: -77.10 | Steps: 121 | Epsilon: 0.99 | Result: LOSE | Time: 0.0004s
Episode 6 | Reward: -82.10 | Steps: 121 | Epsilon: 0.98 | Result: LOSE | Time: 0.0004s
Episode 7 | Reward: -79.10 | Steps: 121 | Epsilon: 0.98 | Result: LOSE | Time: 0.0004s
Episode 8 | Reward: -75.10 | Steps: 121 | Epsilon: 0.98 | Result: LOSE | Time: 0.0004s
Episode 9 | Reward: -81.10 | Steps: 121 | Epsilon: 0.97 | Result: LOSE | Time: 0.0004s
Episode 10 | Reward: -73.10 | Steps: 121 | Epsilon: 0.97 | Result: LOSE | Time: 0.0004s
Episode 11 | Reward: -67.10 | Steps: 121 | Epsilon: 0.97 | Result: LOSE | Time: 0.0004s
Episode 12 | Reward: -65.10 | Steps: 121 | Epsilon: 0.96 | Result: LOSE | Time: 0.0003s
Episode 13 | Reward: -87.10 | Steps: 121 | Epsilon: 0.96 | Result: LOSE | Time: 0.0004s
Episode 14 | Reward: -80.10 | Steps: 121 | Epsilon: 0.96 | Result: LOSE | Time: 0.0004s
Episode 15 | Reward: -61.10 | Steps: 121 | Epsilon: 0.96 | Result: LOSE | Time: 0.0004s
Episode 16 | Reward: -74.10 | Steps: 121 | Epsilon: 0.95 | Result: LOSE | Time: 0.0004s
Episode 17 | Reward: -84.10 | Steps: 121 | Epsilon: 0.95 | Result: LOSE | Time: 0.0004s
Episode 18 | Reward: -74.10 | Steps: 121 | Epsilon: 0.95 | Result: LOSE | Time: 0.0004s
Episode 19 | Reward: -81.10 | Steps: 121 | Epsilon: 0.94 | Result: LOSE | Time: 0.0004s
Episode 20 | Reward: -61.10 | Steps: 121 | Epsilon: 0.94 | Result: LOSE | Time: 0.0004s
Episode 21 | Reward: -59.10 | Steps: 121 | Epsilon: 0.94 | Result: LOSE | Time: 0.0004s
Episode 22 | Reward: -73.10 | Steps: 121 | Epsilon: 0.94 | Result: LOSE | Time: 0.0004s
Episode 23 | Reward: -89.10 | Steps: 121 | Epsilon: 0.93 | Result: LOSE | Time: 0.0004s
Episode 24 | Reward: -74.10 | Steps: 121 | Epsilon: 0.93 | Result: LOSE | Time: 0.0004s
Episode 25 | Reward: -69.10 | Steps: 121 | Epsilon: 0.93 | Result: LOSE | Time: 0.0004s
